Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
BROMOCRIPTINE 2,5 mg (Parlodel);Agonistes dopaminergiques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas pour améliorer la tolérance digestive. Eviter le jus de pamplemousse.;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
BROMOCRIPTINE 5 et 10 mg (Parlodel);Agonistes dopaminergiques;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas pour améliorer la tolérance digestive. Eviter le jus de pamplemousse.;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
BUDESONIDE 3 et 9 mg (Entocort, Mikicort);Corticostéroïdes locaux;Gélule GR;Non;Ne pas ouvrir;;;A prendre en une seule prise le matin;RCP;;;19/09/2023
BUMETANIDE 1 et 5 mg (Burinex);Sulfamides non associés;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;Alloga 21-04-2022 : écrasement possible si administration immédiate. Photosensible, peu soluble et légèrement amer.;18/04/2023
BUSULFAN 2 mg (Myleran);Sulfonates d'alkyle;Comprimé;Non;Ne pas écraser ni croquer;;;PA cytotoxique. Manipuler les comprimés avec précaution et éviter autant que possible un contact prolongé avec la main.;Réponse laboratoire;;ASPEN Pharma 22-02-2022 : des protocoles existent pour réaliser un sirop à partir des comprimés, en suivant les précautions d'usage de manipulation des produits cytotoxiques.;18/04/2023
CAFEINE / ERGOTAMINE 100/1 mg (Gynergene cafeine);Alcaloïdes de l'ergot de seigle;Comprimé;Non;?;;;Eviter le jus de pamplemousse.;;;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
CALCITRIOL 0,25 µg (Rocaltrol);Vitamine D et analogues;Capsule molle;Non;Ne pas ouvrir;;;;RCP;;;18/04/2023
CALCIUM / CHOLECALCIFEROL 600 mg / 400 UI (Caltrate vitamine D3);Calcium en association avec vitamine D et/ou d'autres médicaments;Comprimé;Comprimés effervescents, dispersibles, à sucer ou à croquer, poudre orale;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre à distance des repas;Réponse laboratoire;;GSK 15-02-2022 : écrasement possible si besoin;18/04/2023
CALCIUM CARBONATE 600 mg (Caltrate);Calcium;Comprimé;Comprimés effervescents, dispersibles, à sucer ou à croquer, poudre orale;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre à distance des repas;Réponse laboratoire;;GSK 15-02-2022 : écrasement possible si besoin;18/04/2023
CANDESARTAN / HYDROCHLOROTHIAZIDE 8/12,5 et 16/12,5 mg (Hytacand);Antagonistes de l'angiotensine II et diurétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence à heure fixe.;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CANDESARTAN 4, 8, 16 et 32 mg (Atacand);Antagonistes de l'angiotensine II non associés;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CAPECITABINE 150 et 500 mg (Xeloda);Analogues de la pyrimidine;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;PA cytotoxique. A prendre 30 min après les repas.;RCP;;Roche 21-02-2022 : écrasement déconseillé, risque d'effets indésirables (cf RCP);18/04/2023
CAPTOPRIL / HYDROCHLOROTHIAZIDE 50/25 mg (génériques);Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence le matin ou à heure fixe.;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CAPTOPRIL 25 et 50 mg (génériques);Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé sécable;Solution buvable;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre de préférence le matin ou à heure fixe.;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.;18/04/2023
CARBAMAZEPINE 200 mg (Tegretol);Dérivés du carboxamide;Comprimé sécable;Suspension buvable;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;RCP;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf RCP;18/04/2023
CARBAMAZEPINE LP 200 et 400 mg (Tegretol LP);Dérivés du carboxamide;Comprimé sécable LP;"? Non LP ?
Suspension buvable";Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;RCP;;Novartis 16-03-2022 : cf RCP;18/04/2023
CARBIMAZOLE 5 et 20 mg (Neo-mercazole);Dérivés imidazolés soufrés;Comprimé;Non;Ne pas écraser ni croquer;;;;Notice patient;Ecrasable selon HUG 03/2023;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
"CARVEDILOL 6,25 ; 12,5 et 25 mg (Kredex)";Alpha et bêta-bloquants;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe, au moment des repas pour améliorer la tolérance.;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CEFALEXINE 500 et 1000 mg (Keforal);Céphalosporines de première génération;Comprimé;Suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence en dehors des repas. Ne pas prendre avec du lait.;Réponse laboratoire;;Sciencex 07-04-2022 : écrasement déconseillé car pas d'étude. Goût désagréable.;18/04/2023
CEFIXIME 200 mg (Oroken);Céphalosporines de troisième génération;Comprimé;Poudre pour suspension buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
CEFPODOXIME 100 mg (Orelox);Céphalosporines de troisième génération;Comprimé;Poudre pour solution buvable;Ne pas écraser ni croquer;Goût désagréable;;A prendre pendant les repas;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
CEFUROXIME 125, 250 et 500 mg (Zinnat);Céphalosporines de deuxième génération;Comprimé;Granulés pour suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;A prendre après les repas pour améliorer l'absorption.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
CELECOXIB 100 et 200 mg (Celebrex);Coxibs;Gélule;Non;Ouverture possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre de préférence à heure fixe. Peut être vidé sur de la nourriture semi-solide (compote, yaourt, purée) et avalé immédiatement avec un verre d’eau.;RCP;;;18/04/2023
CELIPROLOL 200 mg (Celectol);Bêta-bloquants sélectifs;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence de matin, ? 30 min avant ou ? 2h après les repas.;Notice patient;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CETIRIZINE 10 mg (Zyrtecset);Dérivés de la pipérazine;Comprimé sécable;Solution buvable en gouttes, comprimés à sucer;Ne pas écraser ni croquer;;;;Réponse laboratoire;;UCB Pharma 24-02-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CHLORAMBUCIL 2 mg (Chloraminophène);Analogues des moutardes azotées ;Gélule;Non;Ne pas ouvrir;;;A prendre à jeun. PA cytotoxique.;Notice patient;;Laboratoires Techni-pharma 08-03-2022 : gélule non ouvrable;18/04/2023
CHLOROQUINE 100 mg (Nivaquine);Aminoquinoléïnes;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre en fin de repas, de préférence le matin ou le midi. Mélangeable à un yaourt ou un liquide sucré.;RCP;;Sanofi 23-03-2022 : cf. RCP;18/04/2023
CHLORPROMAZINE 25 et 100 mg (Largactil);Phénothiazines à chaîne latérale aliphatique;Comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
CHONDROITINE 400 mg (Chondrosulf);Autres anti-inflammatoires antirhumatismaux non stéroïdiens;Gélule;Gel oral;Ne pas ouvrir;;;A prendre de préférence pendant les repas.;RCP;;;18/04/2023
CIBENZOLINE 130 mg (Exacor);Autres antiarythmiques de classe I et III;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données;18/04/2023
CICLOSPORINE 10, 25, 50 et 100 mg (Neoral);Inhibiteurs de la calcineurine;Capsule molle;Solution buvable;Ne pas ouvrir;;;A prendre à heure fixe. Eviter le jus de pamplemousse.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
CINACALCET 30, 60 et 90 mg (Mimpara);Autres antiparathyroïdiens;Comprimé;Granulés en gélule ouvrable;Ne pas écraser ni croquer;;;A prendre pendant ou en fin de repas.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
CIPROFIBRATE 100 mg (Lipanor);Fibrates;Gélule;Non;Ne pas ouvrir;;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
CIPROFLOXACINE 250, 500 et 750 mg (Ciflox);Fluoroquinolones;Comprimé sécable;Granulés pour suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;Ne pas prendre avec des produits laitiers ou boissons enrichies en calcium.;RCP;;Bayer 03-08-2020 : broyage déconseillé car goût amer. Peut être utilisé en SNG.;18/04/2023
CITALOPRAM 20 mg (Seropram);Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS);Comprimé sécable;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;Goût amer et photosensibilité.;Notice patient;Ecrasable selon HUG 03/2023;Lundbeck 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CLARITHROMYCINE 250 et 500 mg (Zeclar);Macrolides;Comprimé;Granulés pour suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Viatris 17-02-2023 : nous recommandons d'utiliser le comprimé dans sa forme galénique initiale.;18/04/2023
CLARITHROMYCINE LM 500 mg (Génériques);Macrolides;Comprimé LM;Pas d'équivalent LM;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas.;Réponse laboratoire;;Arrow 15-03-2022 : augmentation du risque de survenue candidose, glossite ou stomatite en cas d'écrasement.;18/04/2023
CLINDAMYCINE 75, 150 et 300 mg (Dalacine);Lincosamides;Gélule;Non;Ne pas ouvrir;;;Ne convient pas aux enfants qui ne peuvent pas avaler les gélules entières.;RCP;Ouvrable selon HUG 03/2023;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
CLOBAZAM 10 et 20 mg (Urbanyl);Dérivés des benzodiazépines;Comprimé ou comprimé sécable;Suspension buvable;Écrasement possible;;Prise possible avec de la compote<br>;Peut être écrasé dans une compote de pommes.;Notice patient;;;18/04/2023
CLOBAZAM 5 mg (Urbanyl);Dérivés des benzodiazépines;Gélule;Suspension buvable, comprimés écrasables;Ne pas ouvrir;;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;05/02/2024
CLOFAZIMINE 50 et 100 mg (Lamprene);Antilépreux;Capsule molle;Non;Ne pas ouvrir;;;A prendre au cours des repas ou avec du lait.;Galénique;;Novartis 16-03-2022 : cf. RCP;18/04/2023
CLOMIPRAMINE 10, 25 et 75 mg (Anafranil);Inhibiteurs non-sélectifs de la recapture des monoamines;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Alfasigma 08-04-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CLONAZEPAM 2 mg (Rivotril);Dérivés des benzodiazépines;Comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
CLONIDINE 0,15 mg (Catapressan);Agonistes des récepteurs de l'imidazoline;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;CSP 21-02-2022 : écrasement déconseillé car pas d'étude. Goût amer, PA soluble dans l'eau et l'alcool.;18/04/2023
CLOPIDOGREL 75 et 300 mg (Plavix);Inhibiteurs de l'agrégation plaquettaire sauf héparines;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
CLORAZEPATE 5, 10 et 20 mg (Tranxene);Dérivés des benzodiazépines;Gélule;Non;Ne pas ouvrir;;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
CLOTIAZEPAM 5 et 10 mg (Veratran);Dérivés des benzodiazépines;Comprimé;Non;;;;A prendre avec un verre d'eau.;Réponse laboratoire;;Amdipharm 24-07-2025 : écrasement déconseillé car pas d'étude;24/07/2025
CLOXACILLINE 500 mg (Orbenine);Pénicillines résistantes aux bêta-lactamases;Gélule;Non;Ne pas ouvrir;Goût désagréable;;A prendre de préférence 30 min avant les repas.;RCP;;Astellas Pharma 14-03-2022 : cf. RCP;18/04/2023
CLOZAPINE 25 et 100 mg (Leponex);Diazépines, oxazépines, thiazépines et oxépines;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
COBICISTAT / ELVITEGRAVIR / EMTRICITABINE / TENOFOVIR 150/150/200/245 mg (Stribild);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Gilead 02-03-2022 : écrasement et fractionnement déconseillé car pas d'étude interne, mais d'autres études ont montré une bioeq et tolérance similaire après écrasement.;18/04/2023
CODEINE / EXTRAIT DE GRINDELIA / SULFOGAÏACOL 25/20/100 mg (Neo-codion);Alcaloïdes de l'opium et dérivés;Comprimé;Sirop;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
COLCHICINE / OPIUM / TIEMONIUM 1/12,5/50 mg (Colchimax);Médicaments sans effet sur le métabolisme de l'acide urique;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre au moment des repas. Eviter le jus de pamplemousse.;Réponse laboratoire;;Laboratoires Mayoly Spindler 26-04-2023 : écrasement déconseillé car pas d'étude.;26/04/2023
COLCHICINE 1 mg (Colchicine opocalcium);Médicaments sans effet sur le métabolisme de l'acide urique;Comprimé;Non;Écrasement possible;;; A prendre au moment des repas. Eviter le jus de pamplemousse.;Réponse laboratoire;;Laboratoires Mayoly Spindler 27-06-2025 : peut être écrasé de façon extemporané car pas d'études. A mélanger à de l'alimentation car goût très amer.;27/06/2025
CYAMEMAZINE 25 et 100 mg (Tercian);Phénothiazines à chaîne latérale aliphatique;Comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
CYANOCOBALAMINE 250 µg (Vitamine B12, Gerda);Vitamine B12 (cyanocobalamine et dérivés);Comprimé sécable;Solution buvable;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;Substipharm 21-03-2022 : pas d'étude mais écrasement possible si administration immédiate. Photosensible et sensible à l'humidité. Peu soluble dans l'eau.;18/04/2023
CYCLOPHOSPHAMIDE 50 mg (Endoxan);Analogues des moutardes azotées ;Comprimé;Non;Ne pas écraser ni croquer;;;PA cytotoxique. A prendre le matin à jeun avec 2 grands verres d'eau.;RCP;;;18/04/2023
CYPROHEPTADINE 4 mg (Periactine);Autres antihistaminiques à usage systémique;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence le soir (effet sédatif).;Réponse laboratoire;;Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Goût amer.;18/04/2023
CYPROTERONE 50 et 100 mg (Androcur);Anti-androgènes non associés;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre pendant ou en dehors des repas mais de façon constante, de préférence le repas du matin ou du soir.;Réponse laboratoire;;Bayer 03-08-2020 : pas d'étude, peut être écrasé mais ne pas diluer.;18/04/2023
CYSTEAMINE 50 et 150 mg (Cystagon);Acides aminés et dérivés;Gélule;Non;Ouverture possible;;Prise possible avec de l’eau<br>Prise possible avec du lait<br>Prise possible avec un yaourt<br>;Mélanger la poudre à des aliments comme le lait, les pommes de terre et autres produits à base d’amidon. Eviter les boissons acides comme le jus d'orange.;RCP;;;18/04/2023
DABIGATRAN 75, 110 et 150 mg (Pradaxa);Inhibiteurs directs de la thrombine;Gélule;Non;Ne pas ouvrir;;;Risque de surdosage et donc de saignements si ouverture de la gélule.;RCP;;Boehringer 18-08-2020 : cf. RCP. Sensible à l'humidité.;18/04/2023
DABRAFENIB 50 et 75 mg (Tafinlar);Inhibiteurs de protéine kinase;Gélule;Comprimés dispersibles (AAC);Ne pas ouvrir;;;A prendre à heure fixe, ? 1h avant ou ? 2h après les repas. Ne pas ouvrir les gélules en raison de l'instabilité chimique du PA.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
DANTROLENE 25 et 100 mg (Dantrium);Dantrolène et dérivés;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas.;Notice patient;;;18/04/2023
"DAPAGLIFLOZINE 10 mg 
(Forxiga)";"
Inhibiteurs du cotransporteur sodium-glucose de type 2 (SGLT2)
";Comprimé;;Ne pas écraser ni croquer;;;;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
DAPSONE / FER 100/200 mg (Disulone);Antilépreux;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être écrasé et mélangé à un liquide ou un yaourt.;RCP;;;18/04/2023
DARUNAVIR 75, 150, 400, 600 et 800 mg (Prezista);Inhibiteurs de protéase;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;A prendre à heure fixe ? 30 min après les repas ou une collation. Eviter le jus de pamplemousse.;Notice patient;Ecrasable selon HUG 03/2023;;18/04/2023
DASATINIB 20, 50, 70, 100 et 140 mg (Sprycel);Inhibiteurs de protéine kinase;Comprimé;Poudre pour suspension buvable;Ne pas écraser ni croquer;;;A prendre à heure fixe. Ne pas écraser pour préserver le dosage et éviter le risque d'exposition cutanée. Eviter le jus de pamplemousse.;RCP;;;18/04/2023
DEFERASIROX 90, 180 et 360 mg (Exjade);Chélateurs du fer;Comprimé;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;A prendre à heure fixe à jeun ou avec un repas léger. Peut être écrasé dans un yaourt ou une compote pour administration immédiate.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
DESLORATADINE 5 mg (Aerius);Autres antihistaminiques à usage systémique;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Thériaque 03/2023;;;18/04/2023
DEXAMETHASONE 0,5 mg (Dectancyl);Glucocorticoïdes;Comprimé;Solution buvable (AAC);Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être mélangé à l'alimentation.;RCP;;;18/04/2023
DEXAMETHASONE 40 mg (Neofordex);Glucocorticoïdes;Comprimé;Solution buvable;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;Theravia 05-05-2025 : Pas d'étude mais écrasement possible si administration immédiate. Peu soluble dans l'eau.  Disperser la poudre obtenue dans de l’eau, bien agiter et avaler immédiatement sans laisser de résidu au fond du verre;12/05/2025
DEXCHLORPHENIRAMINE 2 mg (Polaramine);Alkylamines substituées;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le soir (effet sédatif).;Réponse laboratoire;;Bayer 30-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
DIACEREINE 50 mg (Art);Autres anti-inflammatoires antirhumatismaux non stéroïdiens;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas.;RCP;;;18/04/2023
DIAZEPAM 2, 5 et 10 mg (Valium);Dérivés des benzodiazépines;Comprimé sécable;Solution buvable en gouttes;?;;; Eviter le jus de pamplemousse.;;Ecrasable selon HUG 03/2023;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
DIAZOXIDE 25 et 100 mg (Proglicem);Médicaments de l'hypoglycemie;Gélule;Suspension buvable (AAC);Ouverture possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Mélangeable avec des aliments.;Notice patient;;;18/04/2023
DICLOFENAC 25 et 50 mg (Voltarene);Dérivés de l'acide acétique et apparentés;Comprimé GR;Suppositoires;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;RCP;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
DICLOFENAC LP 75 et 100 mg (Voltarene LP);Dérivés de l'acide acétique et apparentés;Comprimé LP;"? Non LP ?
Suppositoires";Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
DIETHYLCARBAMAZINE 100 mg (Notezine);Pipérazine et dérivés;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence après les repas.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
DIGOXINE 0,125 et 0,25 mg (Hemigoxine, Digoxine);Glycosides de la Digitale;Comprimé ;Solution buvable en gouttes;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Goût amer.;18/04/2023
DIHYDROCODEINE LP 60 mg (Dicodin LP);Alcaloïdes naturels de l'opium;Comprimé LP;Non;Ne pas écraser ni croquer;Goût désagréable;;;RCP;;;18/04/2023
DILTIAZEM 60 mg (Tildiem);Dérivés de la benzothiazépine;Comprimé;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre de préférence au début des repas. Eviter le jus de pamplemousse.;RCP;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
DILTIAZEM LP 90 et 120 mg (Bi Tildiem LP);Dérivés de la benzothiazépine;Comprimé LP;;Ne pas écraser ni croquer;;;;RCP;;;30/04/2025
DILTIAZEM LP 90, 120, 200 et 300 mg (Mono Tildiem LP);Dérivés de la benzothiazépine;Gélule LP;Non;Ne pas ouvrir;;;A prendre à heure fixe. Eviter le jus de pamplemousse.;RCP;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;30/04/2025
DIMENHYDRINATE / CAFEINE 50/10 mg (Mercalm);Autres antiémétiques;Comprimé sécable;Sirop (sans caféine);Écrasement possible;;Prise possible avec de l’eau<br>;A prendre 30 min avant le départ. Peut être écrasé dans un verre d'eau sucrée.;RCP;;;18/04/2023
DIOSMINE 300 et 600 mg (Diovenor, Mediveine);Bioflavonoïdes;Comprimé;Poudre pour suspension buvable;?;;;A prendre de préférence pendant les repas.;;;En attente (Elerte);18/04/2023
DIOSMINE 500 et 1000 mg (Daflon);Bioflavonoïdes;Comprimé;Poudre pour suspension buvable;Délitement possible;;Prise possible avec de l’eau<br>;Peut être dissout sans l'écraser dans de l'eau. A prendre peandant les repas.;Thériaque 03/2023;;;18/04/2023
DIPHENHYDRAMINE 90 mg (Nautamine);Ethers d'aminoalkyls;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre 30 min avant le départ. Peut être écrasé dans un verre d'eau.;RCP;;;18/04/2023
DIPYRIDAMOLE 75 mg (Persantine);Inhibiteurs de l'agrégation plaquettaire sauf héparines;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;CSP 21-02-2022 : écrasement déconseillé car pas d'étude. Goût amer, PA très peu soluble dans l'eau mais soluble en milieu acide, et présumé photosensible.;18/04/2023
DISOPYRAMIDE 100 mg (Rythmodan);Antiarythmiques, classe Ia;Gélule;Non;Ne pas ouvrir;;;;Réponse laboratoire;;Cheplapharm 14-03-2022 : ouverture déconseillée car pas d'étude. Peu soluble dans l'eau.;18/04/2023
DISOPYRAMIDE LP 125 et 250 mg (Isorythm LP);Antiarythmiques, classe Ia;Gélule LP;Non;Ne pas ouvrir;;;;Thériaque 03/2023;;;18/04/2023
DISOPYRAMIDE LP 250 mg (Isorythm LP);Antiarythmiques, classe Ia;Comprimé LP;Non;Ne pas écraser ni croquer;;;;Notice patient;;Cheplapharm 14-03-2022 : cf. RCP;18/04/2023
DISULFIRAME 500 mg (Esperal);Médicaments utilisés en cas de dépendance à l'alcool;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre le matin pendant les repas, après ? 24h d'abstinence d'alcool.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
DIVALPROATE 250 et 500 mg (Depakote, Divalcote);Dérivés d'acides gras;Comprimé GR;Non;Ne pas écraser ni croquer;;;;Notice patient;;;09/11/2023
DOLUTEGRAVIR 50 mg (Tivicay);Autres antiviraux;Comprimé;"Comprimés dispersibles
? Adaptation posologique ?";Ne pas écraser ni croquer;;;La biodisponibilité des comprimés dispersibles est 1,6 fois supérieure à celle des comprimés pelliculés.;RCP;Ecrasable selon HUG 07/2020;;18/04/2023
DOMPERIDONE 10 mg (Motilium);Propulsifs;Comprimé;Comprimés orodispersibles, suspension buvable;Ne pas écraser ni croquer;;;A prendre de préférence avant les repas (absorption plus rapide). Eviter le jus de pamplemousse.;Notice patient;;;18/04/2023
DONEPEZIL 5 et 10 mg (Aricept);Anticholinestérasiques;Comprimé;Comprimés orodispersibles;Ne pas écraser ni croquer;Goût désagréable;;A prendre avant le coucher. Eviter le jus de pamplemousse.;Notice patient;Ecrasable selon HUG 03/2023;;18/04/2023
DOSULEPINE 25 mg (Prothiaden);Inhibiteurs non-sélectifs de la recapture des monoamines;Gélule;Non;Ne pas ouvrir;;;;Réponse laboratoire;;Teofarma 08-03-2022 : ouverture déconseillée car pas d'étude.;18/04/2023
DOSULEPINE 75 mg (Prothiaden);Inhibiteurs non-sélectifs de la recapture des monoamines;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
DOXYCYCLINE 50 et 100 mg (Doxy, Doxypalu, Doxylis, Granudoxy);Tétracyclines;Comprimé sécable;Non;Délitement possible;;Prise possible avec de l’eau<br>;Peut être dissout sans l'écraser dans ½ verre d'eau. A prendre pendant les repas. Ne pas s'allonger jusqu'à 1 h après la prise (risque d'ulcération de l'oseophage). Ne pas prendre avec du lait (diminue l'absorption).;RCP;;;18/04/2023
DULOXETINE 30 et 60 mg (Cymbalta);Autres antidépresseurs;Gélule GR;Non;Ne pas ouvrir;;Prise possible avec de l’eau<br>;;Notice patient;Ouvrable selon HUG 03/2023;"Lilly 06-08-2020 : la dose doit être avalée
entière afin de ne pas pour endommager le revêtement entérique.";18/04/2023
